Image URL,Appears on,Alt text
,/admission/explore/student-life/, replacealttext
/admission/assets/images/visit/group/group.jpg,/admission/visit/class-visits/, replacealttext
,/admission/visit/in-person/, replacealttext
,/admission/visit/on-demand/, replacealttext
,/admission/visit/virtual-programs/, replacealttext
/admission/assets/images/visit/in-person/0070-21-06-kr-tour-vassar-0054.jpg,/admission/visit/class-visits/, replacealttext
,/admission/visit/group-visits/, replacealttext
,/admission/visit/on-demand/, replacealttext
,/admission/visit/virtual-programs/, replacealttext
/admission/assets/images/visit/Vassar_Campus_20190423_KR_9440.jpg,/admission/visit/, replacealttext
/admission/assets/images/visit/virtual/0091_15_09_KR_0201.jpg,/admission/visit/virtual-programs/, replacealttext
/admission/assets/images/visit/virtual/0191-19-10-ali-quad-drone-vassar-vb-2025.jpg,/admission/visit/class-visits/, replacealttext
,/admission/visit/group-visits/, replacealttext
,/admission/visit/in-person/, replacealttext
,/admission/visit/on-demand/, replacealttext
/admission/assets/images/visit/virtual/110519_160over90_Vassar_0348.jpg,/admission/visit/virtual-programs/, replacealttext
/admission/assets/images/visit/virtual/Take_Off_MZa.jpg,/admission/visit/virtual-programs/, replacealttext
/admission/assets/images/visit/virtual/tour-video-still.jpg,/admission/visit/virtual-programs/, changealttext
/assets/images/placeholders/main-placeholder.jpg,/admission/apply/, replacealttext
,/admission/apply/how-to-apply/, replacealttext
,/admission/apply/international/, replacealttext
,/admission/apply/questbridge/, replacealttext
,/admission/apply/transfer/, replacealttext
,/admission/apply/veterans/, replacealttext
,/admission/connect/, replacealttext
,/admission/connect/for-counselors/, replacealttext
,/admission/connect/meet-the-students/, replacealttext
,/admission/explore/, alt text
,/admission/financial-aid/aid-calculators/, replacealttext
,/admission/financial-aid/forms/, replacealttext
,/admission/financial-aid/tuition/, replacealttext
,/admission/financial-aid/types-of-aid/, replacealttext
,/admission/quick-facts/, replacealttext
,/admission/visit/class-visits/, replacealttext
,/admission/visit/group-visits/, replacealttext
/assets/images/placeholders/placeholder-banner.png,/admission/quick-facts/, alt text
/mockups/admission-home/0027-21-05-kr-founders-vassar-0102.jpg,/admission/, replacethisalttext
/mockups/admission-home/apply/Untitled-1.jpg,/admission/, replacealttext
/mockups/admission-home/apply/Untitled-2.jpg,/admission/, replacealttext
/mockups/admission-home/apply/Untitled-3.jpg,/admission/, replacealttext
/mockups/admission-home/assets/images/0141-15-10-kr-fall-campus-vassar-0034.jpg,/admission/, replacethisalttext
/mockups/admission-home/assets/images/0145-15-05-hw-campus-vassar-vb-4747.jpg,/admission/, alt text
/mockups/admission-home/fav-places-2/0056-21-06-kr-campus-vassar-0006-copy.jpg,/admission/, asdfasdf
/mockups/admission-home/fav-places-2/0195-19-11-kwe-gordon-vassar-1644.jpg,/admission/, asdfasdf
/mockups/admission-home/fav-places-2/0212-18-10-kr-library-fall-vassar-3819.jpg,/admission/, asdfasdf
/mockups/admission-home/fav-places-2/110619_160over90_Vassar_5483.jpg,/admission/, asdfasdf
/mockups/admission-home/fav-places/0083-19-06-tt-shakespeare-vassar-0357.jpg,/admission/, replacethisalttext
/mockups/admission-home/fav-places/farm-ramble-walking-Tour-1709-sal-1.jpg,/admission/, asdfasdf
/mockups/admission-home/journey/0256-19-10-ja-library-lawn-vassar-vb-038.jpg,/admission/, replacethisalttext
